word,code
groan,_gron_____
gore,__gor_____
jut,__J^t_____
lymph,__lImf____
thaw,__Ta______
mice,__mAs_____
rouse,__rWz_____
groat,_grot_____
spice,_spAs_____
pull,__pUl_____
hire,__hAr_____
fraud,_frad_____
rage,__reJ_____
tripe,_trAp_____
ruse,__ruz_____
flirt,_fl^rt____
grouch,_grWC_____
grass,_gr@s_____
pulp,__p^lp____
rust,__r^st____
gone,__gan_____
gong,__gang____
fright,_frAt_____
taste,__test____
deer,__dir_____
deep,__dip_____
deem,__dim_____
file,__fAl_____
creak,_krik_____
deed,__did_____
hound,__hWnd____
flock,_flak_____
film,__fIlm____
fill,__fIl_____
yon,__yan_____
scribe,skrAb_____
tight,__tAt_____
you,__yu______
jell,__JEl_____
poor,__por_____
brash,_br@S_____
met,__mEt_____
peat,__pit_____
bribe,_brAb_____
drift,_drIft____
cove,__kov_____
peal,__pil_____
peak,__pik_____
brass,_br@s_____
spouse,_spWs_____
pool,__pul_____
grudge,_gr^J_____
wife,__wAf_____
thorn,__Torn____
groom,_grum_____
curve,__k^rv____
mash,__m@S_____
mast,__m@st____
mass,__m@s_____
smirk,_sm^rk____
caste,__k@st____
retch,__rEtC____
all,___al_____
snout,_snWt_____
