,Unnamed: 0,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3,Word,SUBTLWF,freq_lcnl_extended,freq_lcnl_extended_log,freq_lcnl_extended_log_flipscale,score,score_extended
2205,2415,our,3k,209.0,2.322219294733919,1.6585110818020263,4.3460849999999995,1.53,1.7384340000000005,621.0,709.0,909.0,our,1400.4901960784314,209.0,2.322219294733919,1.6585110818020263,10.150873786307091,10.150873786307091
158,176,green,3k,141.0,2.1522883443830563,1.8284420321528891,3.79,1.32,1.516,523.0,276.0,236.0,green,72.47058823529412,141.0,2.1522883443830563,1.8284420321528891,10.189547112535113,10.189547112535113
926,1025,think,3k,265.0,2.424881636631067,1.5558487399048784,4.75,1.55,1.9,1417.0,1313.0,1353.0,think,2691.392156862745,265.0,2.424881636631067,1.5558487399048784,10.195470589667075,10.195470589667075
748,829,boy,3k,129.0,2.113943352306837,1.8667870242291085,3.67,1.88,1.4680000000000002,952.0,675.0,614.0,boy,529.8235294117648,129.0,2.113943352306837,1.8667870242291085,10.20375458480188,10.20375458480188
2768,3660,eyes,lcnl,111.0,2.0492180226701815,1.9315123538657637,3.4434819999999995,1.36,1.3773927999999998,487.0,652.0,712.0,eyes,221.54901960784315,111.0,2.0492180226701815,1.931512353865764,10.203775238530174,10.203775238530174
636,711,why,3k,157.0,2.1986570869544226,1.7820732895815228,3.973090000000001,2.11,1.589236,1218.0,1084.0,927.0,#N/A,#N/A,157.0,2.1986570869544226,1.7820732895815228,10.210346513535331,10.210346513535331
786,869,fly,3k,85.0,1.9344984512435677,2.0462319252923775,3.05,1.18,1.22,396.0,182.0,110.0,fly,85.0,85.0,1.9344984512435677,2.0462319252923775,10.21181173852332,10.21181173852332
3223,5932,us,lcnl,177.0,2.250420002308894,1.7303103742270514,4.18623,2.07,1.6744919999999999,997.0,883.0,909.0,us,1695.6470588235295,177.0,2.250420002308894,1.7303103742270514,10.24231630979468,10.24231630979468
2088,2287,train,3k,155.0,2.1931245983544616,1.7876057781814838,4.0,1.71,1.6,222.0,127.0,95.0,train,95.05882352941177,155.0,2.1931245983544616,1.7876057781814838,10.256620223635194,10.256620223635194
2039,2233,bird,3k,112.0,2.0530784434834195,1.9276519330525261,3.52,1.66,1.4080000000000001,540.0,167.0,118.0,bird,45.450980392156865,112.0,2.0530784434834195,1.927651933052526,10.266781765683842,10.26678176568384
124,139,want,3k,169.0,2.230448921378274,1.7502814551576713,4.16,2.32,1.664,2034.0,1248.0,985.0,want,2759.176470588235,169.0,2.230448921378274,1.7502814551576713,10.285985093051849,10.285985093051849
247,281,too,3k,313.0,2.496929648073215,1.4838007284627306,5.1027320000000005,2.0,2.0410928000000004,2069.0,1669.0,1456.0,too,1371.5686274509803,313.0,2.496929648073215,1.4838007284627306,10.296034549619558,10.296034549619558
225,253,hand,3k,65.0,1.8195439355418688,2.1611864409940766,2.74,1.24,1.0959999999999999,434.0,501.0,519.0,hand,279.6470588235294,65.0,1.8195439355418688,2.1611864409940766,10.304152543479269,10.304152543479269
453,511,make,3k,233.0,2.369215857410143,1.6115145191258025,4.68,1.77,1.872,1380.0,1258.0,1453.0,make,1387.7450980392157,233.0,2.369215857410143,1.6115145191258025,10.320300816940309,10.320300816940309
2440,2670,ball,3k,70.0,1.8512583487190752,2.1294720278168704,2.9,1.22,1.16,587.0,304.0,248.0,ball,104.96078431372548,70.0,1.8512583487190752,2.1294720278168704,10.353152097359047,10.353152097359047
1402,1540,sun,3k,95.0,1.9822712330395684,1.9984591434963772,3.4,1.64,1.36,573.0,430.0,418.0,sun,69.66666666666667,95.0,1.9822712330395684,1.9984591434963772,10.39460700223732,10.39460700223732
2255,2472,their,3k,324.0,2.5118833609788744,1.468847015557071,5.262587000000001,2.02,2.1050348000000003,660.0,1336.0,2034.0,their,655.156862745098,324.0,2.5118833609788744,1.468847015557071,10.403551554449749,10.403551554449749
